# Date:     2019-08-23 03:15:54
# Database: ocvs
# Target:   all_cepheids
# Query:    sep(RA,Decl,5:13:29,-65:31:15)<=1000'' 
# Objects:  41
# Columns:
  ID	Mode	RA	Decl	I	V	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-CEP-3746	F	 5:13:42.31	-65:27:30.2	15.273	16.001	3.4520331	0.0000132	6002.17385	0.202	0.270	4.557	0.080	2.848	-99.99	-99.99	LMC506.25.13189	V7/NGC1866	
OGLE-LMC-CEP-3747	1	 5:13:42.81	-65:27:19.8	15.485	16.171	2.0071704	0.0000060	6000.83017	0.190	0.166	4.963	0.044	4.446	-99.99	-99.99	LMC506.25.13196	V8/NGC1866	
OGLE-LMC-CEP-3748	F	 5:13:45.51	-65:27:37.0	15.486	16.174	2.7249625	0.0000116	6000.86024	0.497	0.469	4.492	0.263	2.766	-99.99	-99.99	LMC506.25.13180	HV12200	
OGLE-LMC-CEP-3749	F	 5:13:49.29	-65:33:51.8	15.133	15.796	3.4440976	0.0000107	6000.90883	0.523	0.429	4.526	0.243	2.882	-99.99	-99.99	LMC506.24.27	HV12201	
OGLE-LMC-CEP-3750	F	 5:13:50.20	-65:29:09.5	15.444	16.146	2.9541342	0.0000092	6000.68861	0.387	0.418	4.553	0.196	2.828	-99.99	-99.99	LMC506.24.55	HV12203	
OGLE-LMC-CEP-3752	F	 5:13:57.88	-65:28:39.5	15.076	15.715	3.4387315	0.0000046	6001.41916	0.586	0.472	4.529	0.284	2.844	-99.99	-99.99	LMC506.24.58	HV12204	
OGLE-LMC-CEP-3756	F	 5:14:18.39	-65:30:36.1	15.248	15.955	3.2104975	0.0000036	6000.17828	0.498	0.462	4.556	0.257	2.915	-99.99	-99.99	LMC506.24.45	HV12205	
OGLE-LMC-CEP-3757	1	 5:14:19.18	-65:26:29.3	16.341	16.946	0.9531083	0.0000019	6000.02296	0.155	0.156	3.501	0.062	1.048	-99.99	-99.99	LMC506.24.10270	-99.99	
OGLE-LMC-CEP-3760	F	 5:14:22.25	-65:40:55.5	15.422	16.095	2.7307198	0.0000037	6000.20196	0.470	0.432	4.460	0.219	2.657	-99.99	-99.99	LMC506.15.9121	-99.99	
OGLE-LMC-CEP-3766	F	 5:14:34.19	-65:23:50.5	15.434	16.048	2.5059200	0.0000023	6002.35444	0.571	0.449	4.373	0.234	2.488	-99.99	-99.99	LMC506.24.10228	HV12206	
OGLE-LMC-CEP-3782	F	 5:15:38.48	-65:38:09.9	14.766	15.446	4.5069334	0.0000139	6000.86452	0.368	0.411	4.739	0.172	3.265	-99.99	-99.99	LMC506.14.8910	HV12207	additional eclipsing variability (P_orb = 242.72 d)
OGLE-LMC-CEP-3792	F	 5:15:56.98	-65:30:05.0	15.410	16.135	2.9299755	0.0000041	6001.36209	0.439	0.443	4.507	0.227	2.787	-99.99	-99.99	LMC506.23.57	HV12210	
OGLE-LMC-CEP-3793	F	 5:15:57.49	-65:29:42.6	14.722	15.488	5.0832641	0.0000124	6003.75592	0.449	0.432	4.900	0.177	3.519	-99.99	-99.99	LMC506.23.59	HV12209	
OGLE-LMC-CEP-4646	F	 5:13:48.59	-65:28:33.7	15.400	16.105	3.1011954	0.0000161	6001.09903	0.321	0.364	4.511	0.160	2.736	-99.99	-99.99	LMC506.24.772D	HV12202	
