# x         y        f336w   f438w   f343n   f555w    f336w_err f438w_err f343n_err f555w_err 
 2111.420  1293.910  23.281  23.564  23.095  23.139   0.157   0.103   0.410   0.063
 1709.650  1293.990  22.776  23.008  22.639  22.603   0.207   0.065   0.115   0.048
 2322.690  1294.790  20.515  20.556  20.566  20.494   0.045   0.019   0.035   0.018
 2276.820  1296.390  22.531  22.749  22.479  22.357   0.155   0.052   0.130   0.065
 2315.540  1297.330  19.562  19.828  19.575  19.851   0.030   0.017   0.022   0.017
 2242.420  1297.400  21.788  21.728  21.639  21.472   0.113   0.026   0.063   0.023
 2047.340  1297.580  19.404  19.610  19.395  19.534   0.038   0.017   0.017   0.017
 1927.810  1298.410  17.024  17.524  17.049  17.621   0.031   0.017   0.017   0.017
 2255.390  1298.800  22.771  22.988  22.640  22.570   0.155   0.117   0.111   0.050
 1717.700  1300.810  19.678  19.819  19.665  19.832   0.033   0.017   0.020   0.017
 2391.570  1301.100  19.956  20.036  19.953  20.019   0.034   0.019   0.025   0.017
 1972.270  1301.400  21.947  21.935  21.848  21.718   0.064   0.046   0.055   0.031
 2492.590  1302.460  23.288  23.450  23.445  23.006   0.161   0.082   0.563   0.061
 1963.650  1302.680  19.651  19.836  19.637  19.857   0.030   0.017   0.027   0.017
 1812.140  1303.370  22.630  22.789  22.520  22.438   0.107   0.053   0.112   0.047
 2401.240  1305.140  22.431  22.588  22.312  22.230   0.167   0.070   0.077   0.037
 2581.750  1306.370  19.037  19.293  19.027  19.314   0.034   0.017   0.018   0.017
 1707.430  1306.510  20.651  20.576  20.637  20.539   0.038   0.021   0.027   0.017
 2129.570  1307.940  21.259  21.213  21.207  21.111   0.053   0.024   0.057   0.021
 1846.580  1308.880  16.369  16.727  16.413  16.752   0.038   0.017   0.017   0.017
 1664.380  1310.060  20.985  20.941  20.977  20.854   0.090   0.023   0.042   0.021
 1875.270  1310.580  22.919  23.159  22.700  22.637   0.207   0.081   0.128   0.047
 2150.830  1310.640  17.496  18.109  17.527  18.164   0.065   0.017   0.017   0.017
 2098.750  1310.780  17.613  18.054  17.602  18.106   0.048   0.017   0.017   0.017
 2141.120  1313.000  23.844  23.750  23.432  23.328   0.447   0.167   0.600   0.095
 1921.620  1313.930  21.601  21.601  21.556  21.388   0.104   0.026   0.065   0.024
 2192.850  1314.320  21.419  21.481  21.399  21.233   0.076   0.024   0.068   0.025
 1958.140  1314.570  20.130  20.146  20.108  20.129   0.037   0.018   0.050   0.017
 1790.700  1316.230  23.067  23.343  23.029  22.856   0.284   0.063   0.196   0.052
 2355.550  1316.990  22.369  22.502  22.286  22.169   0.098   0.047   0.099   0.038
 2578.260  1318.360  21.590  21.560  21.575  21.369   0.047   0.033   0.058   0.022
 1593.140  1319.030  20.255  20.268  20.227  20.242   0.046   0.029   0.030   0.017
 2564.080  1319.510  23.329  23.431  23.044  23.053   0.148   0.138   0.174   0.065
 1943.030  1319.900  22.886  23.042  22.726  22.689   0.247   0.070   0.111   0.054
 1999.560  1320.350  20.768  20.711  20.782  20.650   0.087   0.022   0.052   0.026
 2034.180  1320.870  17.579  17.785  17.576  17.823   0.036   0.017   0.017   0.017
 1663.450  1322.360  18.633  18.965  18.623  19.005   0.034   0.017   0.017   0.017
 1849.100  1325.130  19.611  19.735  19.587  19.752   0.038   0.017   0.017   0.017
 1632.710  1325.740  20.212  20.252  20.212  20.223   0.054   0.023   0.035   0.032
 2208.330  1325.750  23.514  23.573  23.179  23.164   0.377   0.245   0.257   0.076
 2516.250  1327.310  20.453  20.453  20.413  20.404   0.038   0.025   0.054   0.026
 2443.940  1327.740  23.372  23.505  23.236  22.940   0.299   0.092   0.151   0.066
 1980.410  1328.400  21.364  21.341  21.375  21.204   0.090   0.030   0.044   0.020
 2078.840  1329.260  18.596  18.901  18.596  18.933   0.030   0.017   0.017   0.017
 1913.580  1331.020  17.497  17.935  17.503  17.996   0.037   0.017   0.017   0.017
 2370.100  1332.090  17.447  17.655  17.444  17.685   0.029   0.017   0.017   0.017
 1634.010  1332.960  17.532  17.907  17.538  17.950   0.038   0.017   0.017   0.017
 1829.540  1337.100  18.816  18.915  18.819  18.898   0.042   0.017   0.017   0.017
 1670.940  1337.820  20.098  19.761  19.925  18.955   0.042   0.017   0.036   0.019
 2180.650  1337.950  21.720  21.721  21.713  21.494   0.053   0.029   0.065   0.024
 2230.210  1338.280  17.925  18.448  17.948  18.501   0.058   0.017   0.024   0.017
 1944.860  1338.990  22.020  22.047  21.834  21.770   0.116   0.036   0.113   0.030
 2295.210  1340.950  20.691  20.681  20.656  20.613   0.049   0.022   0.035   0.025
 2374.740  1341.100  20.677  20.623  20.634  20.562   0.047   0.018   0.066   0.017
 1790.390  1341.490  20.218  20.243  20.181  20.213   0.041   0.018   0.024   0.017
 2210.800  1342.100  18.318  18.931  18.297  18.948   0.064   0.017   0.018   0.017
 1964.120  1343.270  20.933  20.852  20.852  20.780   0.073   0.020   0.032   0.017
 2152.450  1344.010  22.489  22.547  22.238  22.224   0.172   0.059   0.105   0.059
 2312.420  1344.540  20.079  20.105  20.056  20.093   0.067   0.018   0.030   0.017
 2140.080  1345.270  21.075  20.901  21.021  20.624   0.105   0.022   0.038   0.019
 2037.280  1345.890  22.619  22.929  22.692  22.588   0.154   0.098   0.112   0.058
 2248.540  1346.080  20.787  20.754  20.739  20.676   0.075   0.021   0.042   0.018
 2015.030  1346.090  22.631  22.866  22.578  22.457   0.174   0.078   0.151   0.040
 2219.820  1346.150  22.593  22.738  22.461  22.462   0.152   0.051   0.224   0.040
 2350.910  1346.640  18.945  19.255  18.972  19.286   0.029   0.017   0.019   0.017
 2305.210  1346.760  19.872  19.937  19.877  19.901   0.032   0.018   0.026   0.017
 1676.400  1346.890  20.236  20.212  20.210  20.194   0.040   0.017   0.024   0.017
